locusId	sysName	desc	comb	setAS2 HCO	setAS3 LCO
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	HNEAP_RS00290 hypothetical protein	287	339
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	HNEAP_RS00295 molecular chaperone Skp	501	622
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	HNEAP_RS00300 phosphopantetheine-binding protein	99	112
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	HNEAP_RS00305 3-oxoacyl-ACP synthase	1345	1532
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	HNEAP_RS00310 acyl carrier protein	44	69
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	HNEAP_RS00320 AMP-dependent synthetase and ligase	1342	1548
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	HNEAP_RS00325 acyl-CoA synthetase	469	583
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	HNEAP_RS00330 outer membrane lipoprotein carrier protein LolA	416	499
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	HNEAP_RS00335 MMPL domain-containing protein	1471	1671
HNEAP_RS00340	HNEAP_RS00340	hypothetical protein	HNEAP_RS00340 hypothetical protein	334	399
HNEAP_RS00345	HNEAP_RS00345	2-hydroxyacid dehydrogenase	HNEAP_RS00345 2-hydroxyacid dehydrogenase	273	332
HNEAP_RS00350	HNEAP_RS00350	PilZ domain-containing protein	HNEAP_RS00350 PilZ domain-containing protein	72	94
HNEAP_RS00355	HNEAP_RS00355	glutamate racemase	HNEAP_RS00355 glutamate racemase	512	584
HNEAP_RS00360	HNEAP_RS00360	Txe/YoeB family addiction module toxin	HNEAP_RS00360 Txe/YoeB family addiction module toxin	68	92
HNEAP_RS00365	HNEAP_RS00365	prevent-host-death family protein	HNEAP_RS00365 prevent-host-death family protein	25	32
HNEAP_RS00370	HNEAP_RS00370	hypothetical protein	HNEAP_RS00370 hypothetical protein	303	315
HNEAP_RS00380	HNEAP_RS00380	hypothetical protein	HNEAP_RS00380 hypothetical protein	193	249
HNEAP_RS00385	HNEAP_RS00385	hypothetical protein	HNEAP_RS00385 hypothetical protein	166	163
HNEAP_RS00390	HNEAP_RS00390	hypothetical protein	HNEAP_RS00390 hypothetical protein	53	61
HNEAP_RS00395	HNEAP_RS00395	hypothetical protein	HNEAP_RS00395 hypothetical protein	125	153
HNEAP_RS00400	HNEAP_RS00400	hypothetical protein	HNEAP_RS00400 hypothetical protein	88	67
HNEAP_RS00405	HNEAP_RS00405	hypothetical protein	HNEAP_RS00405 hypothetical protein	72	60
HNEAP_RS00410	HNEAP_RS00410	hypothetical protein	HNEAP_RS00410 hypothetical protein	70	101
HNEAP_RS00415	HNEAP_RS00415	yfeABCD locus regulator	HNEAP_RS00415 yfeABCD locus regulator	158	167
HNEAP_RS00420	HNEAP_RS00420	ATPase	HNEAP_RS00420 ATPase	508	640
HNEAP_RS00435	HNEAP_RS00435	cation transporter	HNEAP_RS00435 cation transporter	456	489
HNEAP_RS00445	HNEAP_RS00445	hypothetical protein	HNEAP_RS00445 hypothetical protein	241	298
HNEAP_RS00450	HNEAP_RS00450	mercury transporter MerC	HNEAP_RS00450 mercury transporter MerC	267	300
HNEAP_RS00455	HNEAP_RS00455	hypothetical protein	HNEAP_RS00455 hypothetical protein	187	209
HNEAP_RS00460	HNEAP_RS00460	hypothetical protein	HNEAP_RS00460 hypothetical protein	238	312
HNEAP_RS00465	HNEAP_RS00465	hypothetical protein	HNEAP_RS00465 hypothetical protein	532	666
HNEAP_RS00470	HNEAP_RS00470	integrase	HNEAP_RS00470 integrase	220	264
HNEAP_RS00480	HNEAP_RS00480	class I SAM-dependent methyltransferase	HNEAP_RS00480 class I SAM-dependent methyltransferase	340	406
HNEAP_RS00485	HNEAP_RS00485	SNF2-like protein	HNEAP_RS00485 SNF2-like protein	2903	3217
HNEAP_RS00490	HNEAP_RS00490	ferrous iron transport protein A	HNEAP_RS00490 ferrous iron transport protein A	33	45
HNEAP_RS00510	HNEAP_RS00510	molecular chaperone DnaJ	HNEAP_RS00510 molecular chaperone DnaJ	405	406
HNEAP_RS00565	HNEAP_RS00565	twin-arginine translocase subunit TatC	HNEAP_RS00565 twin-arginine translocase subunit TatC	52	57
HNEAP_RS00575	HNEAP_RS00575	iron export ABC transporter permease subunit FetB	HNEAP_RS00575 iron export ABC transporter permease subunit FetB	197	224
HNEAP_RS00580	HNEAP_RS00580	ABC transporter	HNEAP_RS00580 ABC transporter	127	171
HNEAP_RS00585	HNEAP_RS00585	hypothetical protein	HNEAP_RS00585 hypothetical protein	513	593
HNEAP_RS00590	HNEAP_RS00590	DNA helicase RecG	HNEAP_RS00590 DNA helicase RecG	1107	1222
HNEAP_RS00595	HNEAP_RS00595	Hsp20/alpha crystallin family protein	HNEAP_RS00595 Hsp20/alpha crystallin family protein	266	292
HNEAP_RS00605	HNEAP_RS00605	OmpA family protein	HNEAP_RS00605 OmpA family protein	574	675
HNEAP_RS00610	HNEAP_RS00610	hypothetical protein	HNEAP_RS00610 hypothetical protein	925	1034
HNEAP_RS00615	HNEAP_RS00615	hypothetical protein	HNEAP_RS00615 hypothetical protein	170	187
HNEAP_RS00620	HNEAP_RS00620	hypothetical protein	HNEAP_RS00620 hypothetical protein	227	267
HNEAP_RS00635	HNEAP_RS00635	diguanylate cyclase	HNEAP_RS00635 diguanylate cyclase	726	772
HNEAP_RS00640	HNEAP_RS00640	response regulator	HNEAP_RS00640 response regulator	187	252
HNEAP_RS00645	HNEAP_RS00645	sensor histidine kinase	HNEAP_RS00645 sensor histidine kinase	1446	1621
HNEAP_RS00650	HNEAP_RS00650	serine/threonine-protein phosphatase	HNEAP_RS00650 serine/threonine-protein phosphatase	454	497
HNEAP_RS00655	HNEAP_RS00655	magnesium and cobalt transport protein CorA	HNEAP_RS00655 magnesium and cobalt transport protein CorA	719	831
HNEAP_RS00660	HNEAP_RS00660	glycosyltransferase family 1 protein	HNEAP_RS00660 glycosyltransferase family 1 protein	1117	1290
HNEAP_RS00665	HNEAP_RS00665	phosphatase PAP2 family protein	HNEAP_RS00665 phosphatase PAP2 family protein	365	409
HNEAP_RS00670	HNEAP_RS00670	general secretion pathway protein GspC	HNEAP_RS00670 general secretion pathway protein GspC	1037	1167
HNEAP_RS00675	HNEAP_RS00675	type II secretion system protein GspD	HNEAP_RS00675 type II secretion system protein GspD	1873	2148
HNEAP_RS00680	HNEAP_RS00680	type II secretion system protein GspE	HNEAP_RS00680 type II secretion system protein GspE	1693	2076
HNEAP_RS00685	HNEAP_RS00685	type II secretion system protein GspF	HNEAP_RS00685 type II secretion system protein GspF	886	932
HNEAP_RS00690	HNEAP_RS00690	type II secretion system protein GspG	HNEAP_RS00690 type II secretion system protein GspG	163	189
HNEAP_RS00705	HNEAP_RS00705	type II secretion system protein GspJ	HNEAP_RS00705 type II secretion system protein GspJ	451	522
HNEAP_RS00710	HNEAP_RS00710	general secretion pathway protein GspK	HNEAP_RS00710 general secretion pathway protein GspK	857	1006
HNEAP_RS00715	HNEAP_RS00715	type II secretory pathway component PulL-like protein	HNEAP_RS00715 type II secretory pathway component PulL-like protein	1210	1404
HNEAP_RS00720	HNEAP_RS00720	type II secretion system protein M	HNEAP_RS00720 type II secretion system protein M	697	816
HNEAP_RS00725	HNEAP_RS00725	type II secretion system protein N	HNEAP_RS00725 type II secretion system protein N	900	980
HNEAP_RS00730	HNEAP_RS00730	DUF4395 domain-containing protein	HNEAP_RS00730 DUF4395 domain-containing protein	639	780
HNEAP_RS00735	HNEAP_RS00735	hypothetical protein	HNEAP_RS00735 hypothetical protein	618	681
HNEAP_RS00740	HNEAP_RS00740	BCCT family transporter	HNEAP_RS00740 BCCT family transporter	1609	1993
HNEAP_RS00745	HNEAP_RS00745	MFS transporter	HNEAP_RS00745 MFS transporter	506	492
HNEAP_RS00750	HNEAP_RS00750	MFS transporter	HNEAP_RS00750 MFS transporter	454	506
HNEAP_RS00760	HNEAP_RS00760	serine/threonine protein kinase	HNEAP_RS00760 serine/threonine protein kinase	1595	1768
HNEAP_RS00765	HNEAP_RS00765	phosphopeptide-binding protein	HNEAP_RS00765 phosphopeptide-binding protein	319	358
HNEAP_RS00770	HNEAP_RS00770	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	HNEAP_RS00770 NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	78	94
HNEAP_RS00775	HNEAP_RS00775	chromosome segregation protein SMC	HNEAP_RS00775 chromosome segregation protein SMC	2365	2603
HNEAP_RS00795	HNEAP_RS00795	tRNA-Pro	HNEAP_RS00795 tRNA-Pro	55	75
HNEAP_RS00800	HNEAP_RS00800	Lrp/AsnC family transcriptional regulator	HNEAP_RS00800 Lrp/AsnC family transcriptional regulator	507	557
HNEAP_RS00810	HNEAP_RS00810	ABC transporter ATP-binding protein	HNEAP_RS00810 ABC transporter ATP-binding protein	875	925
HNEAP_RS00815	HNEAP_RS00815	phosphohistidine phosphatase SixA	HNEAP_RS00815 phosphohistidine phosphatase SixA	267	237
HNEAP_RS00820	HNEAP_RS00820	rhombosortase	HNEAP_RS00820 rhombosortase	193	217
HNEAP_RS00825	HNEAP_RS00825	transaldolase	HNEAP_RS00825 transaldolase	424	476
HNEAP_RS00830	HNEAP_RS00830	hypothetical protein	HNEAP_RS00830 hypothetical protein	397	449
HNEAP_RS00835	HNEAP_RS00835	RNA polymerase sigma factor	HNEAP_RS00835 RNA polymerase sigma factor	397	478
HNEAP_RS00840	HNEAP_RS00840	hypothetical protein	HNEAP_RS00840 hypothetical protein	465	564
HNEAP_RS00845	HNEAP_RS00845	phosphate porin	HNEAP_RS00845 phosphate porin	1071	1214
HNEAP_RS00850	HNEAP_RS00850	sensor domain-containing diguanylate cyclase	HNEAP_RS00850 sensor domain-containing diguanylate cyclase	485	503
HNEAP_RS00855	HNEAP_RS00855	protein disulfide oxidoreductase	HNEAP_RS00855 protein disulfide oxidoreductase	278	290
HNEAP_RS00865	HNEAP_RS00865	dUTP diphosphatase	HNEAP_RS00865 dUTP diphosphatase	17	16
HNEAP_RS00875	HNEAP_RS00875	hypothetical protein	HNEAP_RS00875 hypothetical protein	89	87
HNEAP_RS00880	HNEAP_RS00880	DUF4124 domain-containing protein	HNEAP_RS00880 DUF4124 domain-containing protein	398	492
HNEAP_RS00885	HNEAP_RS00885	MFS transporter	HNEAP_RS00885 MFS transporter	1138	1136
HNEAP_RS00890	HNEAP_RS00890	ArsR family transcriptional regulator	HNEAP_RS00890 ArsR family transcriptional regulator	313	412
HNEAP_RS00895	HNEAP_RS00895	ATPase AAA	HNEAP_RS00895 ATPase AAA	49	78
HNEAP_RS00900	HNEAP_RS00900	DUF58 domain-containing protein	HNEAP_RS00900 DUF58 domain-containing protein	63	62
HNEAP_RS00905	HNEAP_RS00905	hypothetical protein	HNEAP_RS00905 hypothetical protein	82	88
HNEAP_RS00910	HNEAP_RS00910	VWA domain-containing protein	HNEAP_RS00910 VWA domain-containing protein	57	107
HNEAP_RS00915	HNEAP_RS00915	hypothetical protein	HNEAP_RS00915 hypothetical protein	183	205
HNEAP_RS00920	HNEAP_RS00920	hypothetical protein	HNEAP_RS00920 hypothetical protein	450	483
HNEAP_RS00925	HNEAP_RS00925	hypothetical protein	HNEAP_RS00925 hypothetical protein	214	212
HNEAP_RS00930	HNEAP_RS00930	High potential iron-sulfur protein	HNEAP_RS00930 High potential iron-sulfur protein	277	304
HNEAP_RS00935	HNEAP_RS00935	SELO family protein	HNEAP_RS00935 SELO family protein	1248	1341
HNEAP_RS00940	HNEAP_RS00940	hypothetical protein	HNEAP_RS00940 hypothetical protein	614	709
HNEAP_RS00945	HNEAP_RS00945	diaminobutyrate acetyltransferase	HNEAP_RS00945 diaminobutyrate acetyltransferase	537	549
HNEAP_RS00950	HNEAP_RS00950	diaminobutyrate--2-oxoglutarate transaminase	HNEAP_RS00950 diaminobutyrate--2-oxoglutarate transaminase	595	624
HNEAP_RS00955	HNEAP_RS00955	ectoine synthase	HNEAP_RS00955 ectoine synthase	124	148
HNEAP_RS00960	HNEAP_RS00960	inositol monophosphatase	HNEAP_RS00960 inositol monophosphatase	470	514
HNEAP_RS00965	HNEAP_RS00965	rhodanese	HNEAP_RS00965 rhodanese	923	1008
HNEAP_RS00970	HNEAP_RS00970	DUF2076 domain-containing protein	HNEAP_RS00970 DUF2076 domain-containing protein	515	547
HNEAP_RS00980	HNEAP_RS00980	type II restriction endonuclease	HNEAP_RS00980 type II restriction endonuclease	170	169
HNEAP_RS00990	HNEAP_RS00990	DUF3240 domain-containing protein	HNEAP_RS00990 DUF3240 domain-containing protein	101	100
HNEAP_RS00995	HNEAP_RS00995	CusA/CzcA family heavy metal efflux RND transporter	HNEAP_RS00995 CusA/CzcA family heavy metal efflux RND transporter	1739	1992
HNEAP_RS01000	HNEAP_RS01000	efflux RND transporter periplasmic adaptor subunit	HNEAP_RS01000 efflux RND transporter periplasmic adaptor subunit	1085	1206
HNEAP_RS01005	HNEAP_RS01005	TolC family protein	HNEAP_RS01005 TolC family protein	1154	1353
HNEAP_RS01010	HNEAP_RS01010	DNA-binding response regulator	HNEAP_RS01010 DNA-binding response regulator	539	627
HNEAP_RS01015	HNEAP_RS01015	two-component sensor histidine kinase	HNEAP_RS01015 two-component sensor histidine kinase	1434	1640
HNEAP_RS01025	HNEAP_RS01025	tryptophan-rich sensory protein	HNEAP_RS01025 tryptophan-rich sensory protein	110	126
HNEAP_RS01030	HNEAP_RS01030	DUF2309 domain-containing protein	HNEAP_RS01030 DUF2309 domain-containing protein	1657	217
HNEAP_RS01035	HNEAP_RS01035	NADH dehydrogenase subunit 5	HNEAP_RS01035 NADH dehydrogenase subunit 5	1006	126
HNEAP_RS01040	HNEAP_RS01040	LysR family transcriptional regulator	HNEAP_RS01040 LysR family transcriptional regulator	295	48
HNEAP_RS01045	HNEAP_RS01045	DUF3817 domain-containing protein	HNEAP_RS01045 DUF3817 domain-containing protein	244	293
HNEAP_RS01050	HNEAP_RS01050	aminoacyl-tRNA hydrolase	HNEAP_RS01050 aminoacyl-tRNA hydrolase	55	62
HNEAP_RS01055	HNEAP_RS01055	hypothetical protein	HNEAP_RS01055 hypothetical protein	263	295
HNEAP_RS01060	HNEAP_RS01060	thioredoxin domain-containing protein	HNEAP_RS01060 thioredoxin domain-containing protein	1645	1825
HNEAP_RS01065	HNEAP_RS01065	DUF839 domain-containing protein	HNEAP_RS01065 DUF839 domain-containing protein	1082	1213
HNEAP_RS01070	HNEAP_RS01070	hypothetical protein	HNEAP_RS01070 hypothetical protein	1216	1354
HNEAP_RS01080	HNEAP_RS01080	hypothetical protein	HNEAP_RS01080 hypothetical protein	639	740
HNEAP_RS01085	HNEAP_RS01085	DUF2892 domain-containing protein	HNEAP_RS01085 DUF2892 domain-containing protein	57	70
HNEAP_RS01090	HNEAP_RS01090	hypothetical protein	HNEAP_RS01090 hypothetical protein	242	288
HNEAP_RS01105	HNEAP_RS01105	alkaline invertase	HNEAP_RS01105 alkaline invertase	1085	1172
HNEAP_RS01110	HNEAP_RS01110	sucrose-phosphate synthase	HNEAP_RS01110 sucrose-phosphate synthase	2118	2379
HNEAP_RS01115	HNEAP_RS01115	haloacid dehalogenase	HNEAP_RS01115 haloacid dehalogenase	23	36
HNEAP_RS01120	HNEAP_RS01120	Small-conductance mechanosensitive channel-like protein	HNEAP_RS01120 Small-conductance mechanosensitive channel-like protein	476	504
HNEAP_RS01125	HNEAP_RS01125	pilin	HNEAP_RS01125 pilin	406	422
HNEAP_RS01130	HNEAP_RS01130	monofunctional biosynthetic peptidoglycan transglycosylase	HNEAP_RS01130 monofunctional biosynthetic peptidoglycan transglycosylase	231	276
HNEAP_RS01135	HNEAP_RS01135	Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	HNEAP_RS01135 Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	992	1019
HNEAP_RS01140	HNEAP_RS01140	nucleotidyltransferase domain-containing protein	HNEAP_RS01140 nucleotidyltransferase domain-containing protein	60	62
HNEAP_RS01145	HNEAP_RS01145	hypothetical protein	HNEAP_RS01145 hypothetical protein	405	466
HNEAP_RS01155	HNEAP_RS01155	group 1 glycosyl transferase	HNEAP_RS01155 group 1 glycosyl transferase	874	953
HNEAP_RS01165	HNEAP_RS01165	hypothetical protein	HNEAP_RS01165 hypothetical protein	654	700
HNEAP_RS01170	HNEAP_RS01170	DegT/DnrJ/EryC1/StrS family aminotransferase	HNEAP_RS01170 DegT/DnrJ/EryC1/StrS family aminotransferase	586	637
HNEAP_RS01180	HNEAP_RS01180	nucleotidyltransferase domain-containing protein	HNEAP_RS01180 nucleotidyltransferase domain-containing protein	154	172
HNEAP_RS01185	HNEAP_RS01185	type II toxin-antitoxin system RelE/ParE family toxin	HNEAP_RS01185 type II toxin-antitoxin system RelE/ParE family toxin	112	136
HNEAP_RS01195	HNEAP_RS01195	Txe/YoeB family addiction module toxin	HNEAP_RS01195 Txe/YoeB family addiction module toxin	74	77
HNEAP_RS01200	HNEAP_RS01200	type II toxin-antitoxin system prevent-host-death family antitoxin	HNEAP_RS01200 type II toxin-antitoxin system prevent-host-death family antitoxin	37	40
HNEAP_RS01215	HNEAP_RS01215	carbohydrate porin	HNEAP_RS01215 carbohydrate porin	749	859
HNEAP_RS01220	HNEAP_RS01220	succinyldiaminopimelate transaminase	HNEAP_RS01220 succinyldiaminopimelate transaminase	595	710
HNEAP_RS01225	HNEAP_RS01225	glyoxalase	HNEAP_RS01225 glyoxalase	118	151
HNEAP_RS01235	HNEAP_RS01235	ParA family protein	HNEAP_RS01235 ParA family protein	374	420
HNEAP_RS01240	HNEAP_RS01240	nitrogen regulation protein NR(I)	HNEAP_RS01240 nitrogen regulation protein NR(I)	1102	1205
HNEAP_RS01245	HNEAP_RS01245	hypothetical protein	HNEAP_RS01245 hypothetical protein	861	894
HNEAP_RS01250	HNEAP_RS01250	DUF4124 domain-containing protein	HNEAP_RS01250 DUF4124 domain-containing protein	200	282
HNEAP_RS01265	HNEAP_RS01265	hypothetical protein	HNEAP_RS01265 hypothetical protein	155	179
HNEAP_RS01270	HNEAP_RS01270	C4-dicarboxylate ABC transporter	HNEAP_RS01270 C4-dicarboxylate ABC transporter	821	928
HNEAP_RS01275	HNEAP_RS01275	integral membrane protein	HNEAP_RS01275 integral membrane protein	438	522
HNEAP_RS01280	HNEAP_RS01280	cytochrome c554	HNEAP_RS01280 cytochrome c554	11	13
HNEAP_RS01315	HNEAP_RS01315	hypothetical protein	HNEAP_RS01315 hypothetical protein	499	560
HNEAP_RS01320	HNEAP_RS01320	copper oxidase	HNEAP_RS01320 copper oxidase	2268	2578
HNEAP_RS01325	HNEAP_RS01325	copper resistance protein B	HNEAP_RS01325 copper resistance protein B	916	1035
HNEAP_RS01330	HNEAP_RS01330	hypothetical protein	HNEAP_RS01330 hypothetical protein	70	93
HNEAP_RS01335	HNEAP_RS01335	bilirubin oxidase	HNEAP_RS01335 bilirubin oxidase	1343	1575
HNEAP_RS01340	HNEAP_RS01340	TolC family protein	HNEAP_RS01340 TolC family protein	641	738
HNEAP_RS01350	HNEAP_RS01350	AcrB/AcrD/AcrF family protein	HNEAP_RS01350 AcrB/AcrD/AcrF family protein	1293	1583
HNEAP_RS01355	HNEAP_RS01355	DUF4332 domain-containing protein	HNEAP_RS01355 DUF4332 domain-containing protein	107	142
HNEAP_RS01360	HNEAP_RS01360	type II toxin-antitoxin system RelE/ParE family toxin	HNEAP_RS01360 type II toxin-antitoxin system RelE/ParE family toxin	31	41
HNEAP_RS01365	HNEAP_RS01365	hypothetical protein	HNEAP_RS01365 hypothetical protein	71	69
