locusId	sysName	desc	comb	setAS7 1-5	setAS8 5
HNEAP_RS00115	HNEAP_RS00115	DUF559 domain-containing protein	HNEAP_RS00115 DUF559 domain-containing protein	264	239
HNEAP_RS00120	HNEAP_RS00120	excinuclease ABC subunit UvrA	HNEAP_RS00120 excinuclease ABC subunit UvrA	2191	1872
HNEAP_RS00130	HNEAP_RS00130	gamma-glutamyltransferase	HNEAP_RS00130 gamma-glutamyltransferase	4451	3486
HNEAP_RS00135	HNEAP_RS00135	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	HNEAP_RS00135 23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	2250	1762
HNEAP_RS00140	HNEAP_RS00140	metallophosphoesterase	HNEAP_RS00140 metallophosphoesterase	849	695
HNEAP_RS00145	HNEAP_RS00145	ketohexokinase	HNEAP_RS00145 ketohexokinase	59	59
HNEAP_RS00150	HNEAP_RS00150	GGDEF domain-containing protein	HNEAP_RS00150 GGDEF domain-containing protein	3414	2895
HNEAP_RS00155	HNEAP_RS00155	BolA family transcriptional regulator	HNEAP_RS00155 BolA family transcriptional regulator	251	245
HNEAP_RS00160	HNEAP_RS00160	HDOD domain-containing protein	HNEAP_RS00160 HDOD domain-containing protein	1286	1035
HNEAP_RS00165	HNEAP_RS00165	bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	HNEAP_RS00165 bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase	33	48
HNEAP_RS00170	HNEAP_RS00170	DNA-directed RNA polymerase subunit omega	HNEAP_RS00170 DNA-directed RNA polymerase subunit omega	40	22
HNEAP_RS00180	HNEAP_RS00180	DedA family protein	HNEAP_RS00180 DedA family protein	460	355
HNEAP_RS00185	HNEAP_RS00185	glycine zipper 2TM domain-containing protein	HNEAP_RS00185 glycine zipper 2TM domain-containing protein	982	904
HNEAP_RS00190	HNEAP_RS00190	membrane protein	HNEAP_RS00190 membrane protein	135	126
HNEAP_RS00195	HNEAP_RS00195	exodeoxyribonuclease III	HNEAP_RS00195 exodeoxyribonuclease III	782	627
HNEAP_RS00200	HNEAP_RS00200	hypothetical protein	HNEAP_RS00200 hypothetical protein	917	789
HNEAP_RS00205	HNEAP_RS00205	hypothetical protein	HNEAP_RS00205 hypothetical protein	4641	3839
HNEAP_RS00210	HNEAP_RS00210	TIGR01458 family HAD-type hydrolase	HNEAP_RS00210 TIGR01458 family HAD-type hydrolase	1432	1159
HNEAP_RS00215	HNEAP_RS00215	competence/damage-inducible protein A	HNEAP_RS00215 competence/damage-inducible protein A	1767	1467
HNEAP_RS00230	HNEAP_RS00230	hypothetical protein	HNEAP_RS00230 hypothetical protein	592	491
HNEAP_RS00235	HNEAP_RS00235	hypothetical protein	HNEAP_RS00235 hypothetical protein	1704	1472
HNEAP_RS00240	HNEAP_RS00240	5'-deoxynucleotidase	HNEAP_RS00240 5'-deoxynucleotidase	192	128
HNEAP_RS00245	HNEAP_RS00245	deoxyguanosinetriphosphate triphosphohydrolase	HNEAP_RS00245 deoxyguanosinetriphosphate triphosphohydrolase	2201	1795
HNEAP_RS00250	HNEAP_RS00250	NAD(P)-dependent oxidoreductase	HNEAP_RS00250 NAD(P)-dependent oxidoreductase	2040	1660
HNEAP_RS00260	HNEAP_RS00260	DNA recombination protein RmuC	HNEAP_RS00260 DNA recombination protein RmuC	2339	1933
HNEAP_RS00265	HNEAP_RS00265	hypothetical protein	HNEAP_RS00265 hypothetical protein	193	157
HNEAP_RS00270	HNEAP_RS00270	metallophosphoesterase	HNEAP_RS00270 metallophosphoesterase	49	54
HNEAP_RS00275	HNEAP_RS00275	hypothetical protein	HNEAP_RS00275 hypothetical protein	420	328
HNEAP_RS00280	HNEAP_RS00280	hypothetical protein	HNEAP_RS00280 hypothetical protein	405	366
HNEAP_RS00285	HNEAP_RS00285	bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	HNEAP_RS00285 bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase	374	321
HNEAP_RS00290	HNEAP_RS00290	hypothetical protein	HNEAP_RS00290 hypothetical protein	708	610
HNEAP_RS00295	HNEAP_RS00295	molecular chaperone Skp	HNEAP_RS00295 molecular chaperone Skp	1266	1005
HNEAP_RS00300	HNEAP_RS00300	phosphopantetheine-binding protein	HNEAP_RS00300 phosphopantetheine-binding protein	191	183
HNEAP_RS00305	HNEAP_RS00305	3-oxoacyl-ACP synthase	HNEAP_RS00305 3-oxoacyl-ACP synthase	2830	2526
HNEAP_RS00310	HNEAP_RS00310	acyl carrier protein	HNEAP_RS00310 acyl carrier protein	92	72
HNEAP_RS00320	HNEAP_RS00320	AMP-dependent synthetase and ligase	HNEAP_RS00320 AMP-dependent synthetase and ligase	2924	2433
HNEAP_RS00325	HNEAP_RS00325	acyl-CoA synthetase	HNEAP_RS00325 acyl-CoA synthetase	1032	871
HNEAP_RS00330	HNEAP_RS00330	outer membrane lipoprotein carrier protein LolA	HNEAP_RS00330 outer membrane lipoprotein carrier protein LolA	1035	836
HNEAP_RS00335	HNEAP_RS00335	MMPL domain-containing protein	HNEAP_RS00335 MMPL domain-containing protein	3138	2702
HNEAP_RS00340	HNEAP_RS00340	hypothetical protein	HNEAP_RS00340 hypothetical protein	740	620
HNEAP_RS00345	HNEAP_RS00345	2-hydroxyacid dehydrogenase	HNEAP_RS00345 2-hydroxyacid dehydrogenase	657	491
HNEAP_RS00350	HNEAP_RS00350	PilZ domain-containing protein	HNEAP_RS00350 PilZ domain-containing protein	211	164
HNEAP_RS00355	HNEAP_RS00355	glutamate racemase	HNEAP_RS00355 glutamate racemase	1177	984
HNEAP_RS00360	HNEAP_RS00360	Txe/YoeB family addiction module toxin	HNEAP_RS00360 Txe/YoeB family addiction module toxin	175	150
HNEAP_RS00365	HNEAP_RS00365	prevent-host-death family protein	HNEAP_RS00365 prevent-host-death family protein	44	41
HNEAP_RS00370	HNEAP_RS00370	hypothetical protein	HNEAP_RS00370 hypothetical protein	547	451
HNEAP_RS00375	HNEAP_RS00375	hypothetical protein	HNEAP_RS00375 hypothetical protein	16	22
HNEAP_RS00380	HNEAP_RS00380	hypothetical protein	HNEAP_RS00380 hypothetical protein	526	435
HNEAP_RS00385	HNEAP_RS00385	hypothetical protein	HNEAP_RS00385 hypothetical protein	349	264
HNEAP_RS00390	HNEAP_RS00390	hypothetical protein	HNEAP_RS00390 hypothetical protein	127	69
HNEAP_RS00395	HNEAP_RS00395	hypothetical protein	HNEAP_RS00395 hypothetical protein	334	320
HNEAP_RS00400	HNEAP_RS00400	hypothetical protein	HNEAP_RS00400 hypothetical protein	139	115
HNEAP_RS00405	HNEAP_RS00405	hypothetical protein	HNEAP_RS00405 hypothetical protein	148	104
HNEAP_RS00410	HNEAP_RS00410	hypothetical protein	HNEAP_RS00410 hypothetical protein	210	158
HNEAP_RS00415	HNEAP_RS00415	yfeABCD locus regulator	HNEAP_RS00415 yfeABCD locus regulator	345	300
HNEAP_RS00420	HNEAP_RS00420	ATPase	HNEAP_RS00420 ATPase	1208	1026
HNEAP_RS00435	HNEAP_RS00435	cation transporter	HNEAP_RS00435 cation transporter	927	750
HNEAP_RS00440	HNEAP_RS00440	N-acetyltransferase	HNEAP_RS00440 N-acetyltransferase	28	28
HNEAP_RS00445	HNEAP_RS00445	hypothetical protein	HNEAP_RS00445 hypothetical protein	457	413
HNEAP_RS00450	HNEAP_RS00450	mercury transporter MerC	HNEAP_RS00450 mercury transporter MerC	602	485
HNEAP_RS00455	HNEAP_RS00455	hypothetical protein	HNEAP_RS00455 hypothetical protein	393	310
HNEAP_RS00460	HNEAP_RS00460	hypothetical protein	HNEAP_RS00460 hypothetical protein	549	481
HNEAP_RS00465	HNEAP_RS00465	hypothetical protein	HNEAP_RS00465 hypothetical protein	1280	1040
HNEAP_RS00470	HNEAP_RS00470	integrase	HNEAP_RS00470 integrase	473	476
HNEAP_RS00480	HNEAP_RS00480	class I SAM-dependent methyltransferase	HNEAP_RS00480 class I SAM-dependent methyltransferase	823	645
HNEAP_RS00485	HNEAP_RS00485	SNF2-like protein	HNEAP_RS00485 SNF2-like protein	6491	5459
HNEAP_RS00490	HNEAP_RS00490	ferrous iron transport protein A	HNEAP_RS00490 ferrous iron transport protein A	99	85
HNEAP_RS00510	HNEAP_RS00510	molecular chaperone DnaJ	HNEAP_RS00510 molecular chaperone DnaJ	785	667
HNEAP_RS00515	HNEAP_RS00515	50S ribosomal protein L36	HNEAP_RS00515 50S ribosomal protein L36	14	12
HNEAP_RS00565	HNEAP_RS00565	twin-arginine translocase subunit TatC	HNEAP_RS00565 twin-arginine translocase subunit TatC	74	78
HNEAP_RS00575	HNEAP_RS00575	iron export ABC transporter permease subunit FetB	HNEAP_RS00575 iron export ABC transporter permease subunit FetB	519	441
HNEAP_RS00580	HNEAP_RS00580	ABC transporter	HNEAP_RS00580 ABC transporter	316	280
HNEAP_RS00585	HNEAP_RS00585	hypothetical protein	HNEAP_RS00585 hypothetical protein	706	556
HNEAP_RS00590	HNEAP_RS00590	DNA helicase RecG	HNEAP_RS00590 DNA helicase RecG	2385	2042
HNEAP_RS00595	HNEAP_RS00595	Hsp20/alpha crystallin family protein	HNEAP_RS00595 Hsp20/alpha crystallin family protein	642	521
HNEAP_RS00605	HNEAP_RS00605	OmpA family protein	HNEAP_RS00605 OmpA family protein	1403	1125
HNEAP_RS00610	HNEAP_RS00610	hypothetical protein	HNEAP_RS00610 hypothetical protein	1976	1604
HNEAP_RS00615	HNEAP_RS00615	hypothetical protein	HNEAP_RS00615 hypothetical protein	327	314
HNEAP_RS00620	HNEAP_RS00620	hypothetical protein	HNEAP_RS00620 hypothetical protein	498	428
HNEAP_RS00635	HNEAP_RS00635	diguanylate cyclase	HNEAP_RS00635 diguanylate cyclase	1493	1272
HNEAP_RS00640	HNEAP_RS00640	response regulator	HNEAP_RS00640 response regulator	442	318
HNEAP_RS00645	HNEAP_RS00645	sensor histidine kinase	HNEAP_RS00645 sensor histidine kinase	3323	2654
HNEAP_RS00650	HNEAP_RS00650	serine/threonine-protein phosphatase	HNEAP_RS00650 serine/threonine-protein phosphatase	1159	966
HNEAP_RS00655	HNEAP_RS00655	magnesium and cobalt transport protein CorA	HNEAP_RS00655 magnesium and cobalt transport protein CorA	1850	1481
HNEAP_RS00660	HNEAP_RS00660	glycosyltransferase family 1 protein	HNEAP_RS00660 glycosyltransferase family 1 protein	2459	2004
HNEAP_RS00665	HNEAP_RS00665	phosphatase PAP2 family protein	HNEAP_RS00665 phosphatase PAP2 family protein	860	749
HNEAP_RS00670	HNEAP_RS00670	general secretion pathway protein GspC	HNEAP_RS00670 general secretion pathway protein GspC	2359	1955
HNEAP_RS00675	HNEAP_RS00675	type II secretion system protein GspD	HNEAP_RS00675 type II secretion system protein GspD	4321	3555
HNEAP_RS00680	HNEAP_RS00680	type II secretion system protein GspE	HNEAP_RS00680 type II secretion system protein GspE	4171	3395
HNEAP_RS00685	HNEAP_RS00685	type II secretion system protein GspF	HNEAP_RS00685 type II secretion system protein GspF	2022	1728
HNEAP_RS00690	HNEAP_RS00690	type II secretion system protein GspG	HNEAP_RS00690 type II secretion system protein GspG	380	379
HNEAP_RS00705	HNEAP_RS00705	type II secretion system protein GspJ	HNEAP_RS00705 type II secretion system protein GspJ	908	750
HNEAP_RS00710	HNEAP_RS00710	general secretion pathway protein GspK	HNEAP_RS00710 general secretion pathway protein GspK	1936	1651
HNEAP_RS00715	HNEAP_RS00715	type II secretory pathway component PulL-like protein	HNEAP_RS00715 type II secretory pathway component PulL-like protein	2909	2435
HNEAP_RS00720	HNEAP_RS00720	type II secretion system protein M	HNEAP_RS00720 type II secretion system protein M	1744	1378
HNEAP_RS00725	HNEAP_RS00725	type II secretion system protein N	HNEAP_RS00725 type II secretion system protein N	1877	1468
HNEAP_RS00730	HNEAP_RS00730	DUF4395 domain-containing protein	HNEAP_RS00730 DUF4395 domain-containing protein	600	717
HNEAP_RS00735	HNEAP_RS00735	hypothetical protein	HNEAP_RS00735 hypothetical protein	1340	1177
HNEAP_RS00740	HNEAP_RS00740	BCCT family transporter	HNEAP_RS00740 BCCT family transporter	3764	3102
HNEAP_RS00745	HNEAP_RS00745	MFS transporter	HNEAP_RS00745 MFS transporter	1064	938
HNEAP_RS00750	HNEAP_RS00750	MFS transporter	HNEAP_RS00750 MFS transporter	900	784
HNEAP_RS00760	HNEAP_RS00760	serine/threonine protein kinase	HNEAP_RS00760 serine/threonine protein kinase	3401	2732
HNEAP_RS00765	HNEAP_RS00765	phosphopeptide-binding protein	HNEAP_RS00765 phosphopeptide-binding protein	704	551
HNEAP_RS00770	HNEAP_RS00770	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	HNEAP_RS00770 NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	197	156
HNEAP_RS00775	HNEAP_RS00775	chromosome segregation protein SMC	HNEAP_RS00775 chromosome segregation protein SMC	5012	4138
HNEAP_RS00795	HNEAP_RS00795	tRNA-Pro	HNEAP_RS00795 tRNA-Pro	144	140
HNEAP_RS00800	HNEAP_RS00800	Lrp/AsnC family transcriptional regulator	HNEAP_RS00800 Lrp/AsnC family transcriptional regulator	1019	923
HNEAP_RS00810	HNEAP_RS00810	ABC transporter ATP-binding protein	HNEAP_RS00810 ABC transporter ATP-binding protein	1737	1504
HNEAP_RS00815	HNEAP_RS00815	phosphohistidine phosphatase SixA	HNEAP_RS00815 phosphohistidine phosphatase SixA	351	333
HNEAP_RS00820	HNEAP_RS00820	rhombosortase	HNEAP_RS00820 rhombosortase	390	363
HNEAP_RS00825	HNEAP_RS00825	transaldolase	HNEAP_RS00825 transaldolase	889	762
HNEAP_RS00830	HNEAP_RS00830	hypothetical protein	HNEAP_RS00830 hypothetical protein	437	345
HNEAP_RS00835	HNEAP_RS00835	RNA polymerase sigma factor	HNEAP_RS00835 RNA polymerase sigma factor	940	743
HNEAP_RS00840	HNEAP_RS00840	hypothetical protein	HNEAP_RS00840 hypothetical protein	989	729
HNEAP_RS00845	HNEAP_RS00845	phosphate porin	HNEAP_RS00845 phosphate porin	2287	2042
HNEAP_RS00850	HNEAP_RS00850	sensor domain-containing diguanylate cyclase	HNEAP_RS00850 sensor domain-containing diguanylate cyclase	1120	906
HNEAP_RS00855	HNEAP_RS00855	protein disulfide oxidoreductase	HNEAP_RS00855 protein disulfide oxidoreductase	593	527
HNEAP_RS00865	HNEAP_RS00865	dUTP diphosphatase	HNEAP_RS00865 dUTP diphosphatase	27	33
HNEAP_RS00875	HNEAP_RS00875	hypothetical protein	HNEAP_RS00875 hypothetical protein	180	166
HNEAP_RS00880	HNEAP_RS00880	DUF4124 domain-containing protein	HNEAP_RS00880 DUF4124 domain-containing protein	885	786
HNEAP_RS00885	HNEAP_RS00885	MFS transporter	HNEAP_RS00885 MFS transporter	2333	1927
HNEAP_RS00890	HNEAP_RS00890	ArsR family transcriptional regulator	HNEAP_RS00890 ArsR family transcriptional regulator	814	710
HNEAP_RS00895	HNEAP_RS00895	ATPase AAA	HNEAP_RS00895 ATPase AAA	9	9
HNEAP_RS00900	HNEAP_RS00900	DUF58 domain-containing protein	HNEAP_RS00900 DUF58 domain-containing protein	23	29
HNEAP_RS00905	HNEAP_RS00905	hypothetical protein	HNEAP_RS00905 hypothetical protein	84	82
HNEAP_RS00910	HNEAP_RS00910	VWA domain-containing protein	HNEAP_RS00910 VWA domain-containing protein	21	20
HNEAP_RS00915	HNEAP_RS00915	hypothetical protein	HNEAP_RS00915 hypothetical protein	112	112
HNEAP_RS00920	HNEAP_RS00920	hypothetical protein	HNEAP_RS00920 hypothetical protein	377	402
HNEAP_RS00925	HNEAP_RS00925	hypothetical protein	HNEAP_RS00925 hypothetical protein	392	319
HNEAP_RS00930	HNEAP_RS00930	High potential iron-sulfur protein	HNEAP_RS00930 High potential iron-sulfur protein	548	458
HNEAP_RS00935	HNEAP_RS00935	SELO family protein	HNEAP_RS00935 SELO family protein	2699	2262
HNEAP_RS00940	HNEAP_RS00940	hypothetical protein	HNEAP_RS00940 hypothetical protein	1443	1155
HNEAP_RS00945	HNEAP_RS00945	diaminobutyrate acetyltransferase	HNEAP_RS00945 diaminobutyrate acetyltransferase	1140	888
HNEAP_RS00950	HNEAP_RS00950	diaminobutyrate--2-oxoglutarate transaminase	HNEAP_RS00950 diaminobutyrate--2-oxoglutarate transaminase	1186	1039
HNEAP_RS00955	HNEAP_RS00955	ectoine synthase	HNEAP_RS00955 ectoine synthase	256	203
HNEAP_RS00960	HNEAP_RS00960	inositol monophosphatase	HNEAP_RS00960 inositol monophosphatase	941	752
HNEAP_RS00965	HNEAP_RS00965	rhodanese	HNEAP_RS00965 rhodanese	1981	1650
HNEAP_RS00970	HNEAP_RS00970	DUF2076 domain-containing protein	HNEAP_RS00970 DUF2076 domain-containing protein	1100	879
HNEAP_RS00980	HNEAP_RS00980	type II restriction endonuclease	HNEAP_RS00980 type II restriction endonuclease	343	278
HNEAP_RS00990	HNEAP_RS00990	DUF3240 domain-containing protein	HNEAP_RS00990 DUF3240 domain-containing protein	191	167
HNEAP_RS00995	HNEAP_RS00995	CusA/CzcA family heavy metal efflux RND transporter	HNEAP_RS00995 CusA/CzcA family heavy metal efflux RND transporter	4007	3239
HNEAP_RS01000	HNEAP_RS01000	efflux RND transporter periplasmic adaptor subunit	HNEAP_RS01000 efflux RND transporter periplasmic adaptor subunit	2485	2044
HNEAP_RS01005	HNEAP_RS01005	TolC family protein	HNEAP_RS01005 TolC family protein	2749	2189
HNEAP_RS01010	HNEAP_RS01010	DNA-binding response regulator	HNEAP_RS01010 DNA-binding response regulator	1289	1080
HNEAP_RS01015	HNEAP_RS01015	two-component sensor histidine kinase	HNEAP_RS01015 two-component sensor histidine kinase	3331	2790
HNEAP_RS01025	HNEAP_RS01025	tryptophan-rich sensory protein	HNEAP_RS01025 tryptophan-rich sensory protein	229	181
HNEAP_RS01030	HNEAP_RS01030	DUF2309 domain-containing protein	HNEAP_RS01030 DUF2309 domain-containing protein	3705	3095
HNEAP_RS01035	HNEAP_RS01035	NADH dehydrogenase subunit 5	HNEAP_RS01035 NADH dehydrogenase subunit 5	2328	1795
HNEAP_RS01040	HNEAP_RS01040	LysR family transcriptional regulator	HNEAP_RS01040 LysR family transcriptional regulator	641	554
HNEAP_RS01045	HNEAP_RS01045	DUF3817 domain-containing protein	HNEAP_RS01045 DUF3817 domain-containing protein	527	428
HNEAP_RS01050	HNEAP_RS01050	aminoacyl-tRNA hydrolase	HNEAP_RS01050 aminoacyl-tRNA hydrolase	140	106
HNEAP_RS01055	HNEAP_RS01055	hypothetical protein	HNEAP_RS01055 hypothetical protein	561	459
HNEAP_RS01060	HNEAP_RS01060	thioredoxin domain-containing protein	HNEAP_RS01060 thioredoxin domain-containing protein	3566	3042
HNEAP_RS01065	HNEAP_RS01065	DUF839 domain-containing protein	HNEAP_RS01065 DUF839 domain-containing protein	2344	2050
HNEAP_RS01070	HNEAP_RS01070	hypothetical protein	HNEAP_RS01070 hypothetical protein	2565	2207
HNEAP_RS01080	HNEAP_RS01080	hypothetical protein	HNEAP_RS01080 hypothetical protein	1285	1182
HNEAP_RS01085	HNEAP_RS01085	DUF2892 domain-containing protein	HNEAP_RS01085 DUF2892 domain-containing protein	129	92
HNEAP_RS01090	HNEAP_RS01090	hypothetical protein	HNEAP_RS01090 hypothetical protein	521	423
HNEAP_RS01105	HNEAP_RS01105	alkaline invertase	HNEAP_RS01105 alkaline invertase	2175	1879
HNEAP_RS01110	HNEAP_RS01110	sucrose-phosphate synthase	HNEAP_RS01110 sucrose-phosphate synthase	4708	3903
HNEAP_RS01115	HNEAP_RS01115	haloacid dehalogenase	HNEAP_RS01115 haloacid dehalogenase	18	13
HNEAP_RS01120	HNEAP_RS01120	Small-conductance mechanosensitive channel-like protein	HNEAP_RS01120 Small-conductance mechanosensitive channel-like protein	881	759
HNEAP_RS01125	HNEAP_RS01125	pilin	HNEAP_RS01125 pilin	849	696
HNEAP_RS01130	HNEAP_RS01130	monofunctional biosynthetic peptidoglycan transglycosylase	HNEAP_RS01130 monofunctional biosynthetic peptidoglycan transglycosylase	535	422
HNEAP_RS01135	HNEAP_RS01135	Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	HNEAP_RS01135 Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB	2138	1830
HNEAP_RS01140	HNEAP_RS01140	nucleotidyltransferase domain-containing protein	HNEAP_RS01140 nucleotidyltransferase domain-containing protein	109	93
HNEAP_RS01145	HNEAP_RS01145	hypothetical protein	HNEAP_RS01145 hypothetical protein	815	713
HNEAP_RS01155	HNEAP_RS01155	group 1 glycosyl transferase	HNEAP_RS01155 group 1 glycosyl transferase	2033	1642
HNEAP_RS01165	HNEAP_RS01165	hypothetical protein	HNEAP_RS01165 hypothetical protein	1444	1149
HNEAP_RS01170	HNEAP_RS01170	DegT/DnrJ/EryC1/StrS family aminotransferase	HNEAP_RS01170 DegT/DnrJ/EryC1/StrS family aminotransferase	1344	1132
HNEAP_RS01175	HNEAP_RS01175	hypothetical protein	HNEAP_RS01175 hypothetical protein	49	36
HNEAP_RS01180	HNEAP_RS01180	nucleotidyltransferase domain-containing protein	HNEAP_RS01180 nucleotidyltransferase domain-containing protein	314	237
HNEAP_RS01185	HNEAP_RS01185	type II toxin-antitoxin system RelE/ParE family toxin	HNEAP_RS01185 type II toxin-antitoxin system RelE/ParE family toxin	225	201
HNEAP_RS01195	HNEAP_RS01195	Txe/YoeB family addiction module toxin	HNEAP_RS01195 Txe/YoeB family addiction module toxin	141	121
HNEAP_RS01200	HNEAP_RS01200	type II toxin-antitoxin system prevent-host-death family antitoxin	HNEAP_RS01200 type II toxin-antitoxin system prevent-host-death family antitoxin	87	69
HNEAP_RS01215	HNEAP_RS01215	carbohydrate porin	HNEAP_RS01215 carbohydrate porin	1575	1379
HNEAP_RS01220	HNEAP_RS01220	succinyldiaminopimelate transaminase	HNEAP_RS01220 succinyldiaminopimelate transaminase	1367	1139
HNEAP_RS01225	HNEAP_RS01225	glyoxalase	HNEAP_RS01225 glyoxalase	244	214
HNEAP_RS01235	HNEAP_RS01235	ParA family protein	HNEAP_RS01235 ParA family protein	703	560
HNEAP_RS01240	HNEAP_RS01240	nitrogen regulation protein NR(I)	HNEAP_RS01240 nitrogen regulation protein NR(I)	2393	1911
HNEAP_RS01245	HNEAP_RS01245	hypothetical protein	HNEAP_RS01245 hypothetical protein	1730	1404
HNEAP_RS01250	HNEAP_RS01250	DUF4124 domain-containing protein	HNEAP_RS01250 DUF4124 domain-containing protein	480	429
HNEAP_RS01265	HNEAP_RS01265	hypothetical protein	HNEAP_RS01265 hypothetical protein	351	301
HNEAP_RS01270	HNEAP_RS01270	C4-dicarboxylate ABC transporter	HNEAP_RS01270 C4-dicarboxylate ABC transporter	1649	1540
HNEAP_RS01275	HNEAP_RS01275	integral membrane protein	HNEAP_RS01275 integral membrane protein	985	853
HNEAP_RS01280	HNEAP_RS01280	cytochrome c554	HNEAP_RS01280 cytochrome c554	23	22
HNEAP_RS01315	HNEAP_RS01315	hypothetical protein	HNEAP_RS01315 hypothetical protein	579	485
HNEAP_RS01320	HNEAP_RS01320	copper oxidase	HNEAP_RS01320 copper oxidase	2779	2307
HNEAP_RS01325	HNEAP_RS01325	copper resistance protein B	HNEAP_RS01325 copper resistance protein B	1165	1044
HNEAP_RS01330	HNEAP_RS01330	hypothetical protein	HNEAP_RS01330 hypothetical protein	159	149
HNEAP_RS01335	HNEAP_RS01335	bilirubin oxidase	HNEAP_RS01335 bilirubin oxidase	1671	1493
